OPENET_ID,AWC
ORx_62521,0.19528205348895145
ORx_62572,0.1883989046962568
ORx_83280,0.17918230789383324
ORx_87281,0.1545910607929968
ORx_80222,0.10999999940395355
ORx_252450,0.16115917595406307
ORx_255885,0.15751971198706896
ORx_256018,0.15000000596046448
ORx_256099,0.16906022056140588
ORx_250483,0.19534729075193635
ORx_250485,0.189805357877863
ORx_244468,0.1899999976158142
ORx_244650,0.1899999976158142
ORx_248334,0.18542219910100505
ORx_248446,0.18756680724993036
ORx_248529,0.18000000715255737
ORx_212592,0.16134510511208486
ORx_249788,0.1899999976158142
ORx_249789,0.1892956418776755
ORx_250228,0.18796646791641747
ORx_250690,0.1920429524974773
ORx_250693,0.1945900135339149
ORx_250718,0.19870053554163403
ORx_250721,0.18264286177498948
ORx_250796,0.20000000298023224
ORx_244393,0.1899999976158142
ORx_244394,0.1899999976158142
ORx_244403,0.1899999976158142
ORx_244404,0.1899999976158142
ORx_244406,0.1899999976158142
ORx_244422,0.1899999976158142
ORx_244426,0.1899999976158142
ORx_244446,0.1871326906306385
ORx_244452,0.1899999976158142
ORx_244454,0.1899999976158142
ORx_244458,0.1899999976158142
ORx_244462,0.1899999976158142
ORx_244466,0.1899999976158142
ORx_244470,0.1899999976158142
ORx_244474,0.1899999976158142
ORx_244558,0.1697275172462255
ORx_244562,0.1899999976158142
ORx_244564,0.14453543971836855
ORx_244600,0.1899999976158142
ORx_244708,0.1899999976158142
ORx_247734,0.1899999976158142
ORx_247749,0.18761089142343607
ORx_247822,0.189141888692813
ORx_247845,0.1899999976158142
ORx_248348,0.1899999976158142
ORx_248350,0.18910867272424872
ORx_86740,0.14615979124359865
ORx_68302,0.1997460347792459
ORx_86762,0.11999999731779099
ORx_86853,0.12190475935737292
ORx_43283,0.20000000298023224
ORx_46608,0.20000000298023224
ORx_46735,0.17291066983586947
ORx_67334,0.19292105461813905
ORx_87427,0.18000000715255737
ORx_87436,0.10914285778999328
ORx_43178,0.19691023326990253
ORx_46611,0.18772824333225344
ORx_46617,0.18926708623145047
ORx_46618,0.19730301782102697
ORx_46734,0.18800359018401144
ORx_46989,0.1987500028917565
ORx_244407,0.17838590456930553
ORx_244413,0.1657815895281224
ORx_244414,0.1899999976158142
ORx_244649,0.1899999976158142
ORx_35395,0.20000000298023224
ORx_37982,0.1599999964237213
ORx_70722,0.1981891693491654
